$0;1693267379771780700;1.15-SNAPSHOT;KIEKER;fa370bf86134;1;false;0;NANOSECONDS;0
$1;1693267418487771200;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3515481721627738117;1693267418486286700;1693267418487765300;fa370bf86134;62;4
$1;1693267418487803300;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3515481721627738117;1693267418483934500;1693267418487798400;fa370bf86134;59;3
$1;1693267418487893900;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;3515481721627738117;1693267418487843400;1693267418487890000;fa370bf86134;65;5
$1;1693267418487914000;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;3515481721627738117;1693267418487830000;1693267418487911000;fa370bf86134;64;4
$1;1693267418490891100;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3515481721627738117;1693267418489882000;1693267418490885900;fa370bf86134;66;4
$1;1693267418490920800;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3515481721627738117;1693267418487811800;1693267418490916400;fa370bf86134;63;3
$1;1693267418491009900;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;3515481721627738117;1693267418490958100;1693267418491006000;fa370bf86134;69;5
$1;1693267418491029200;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;3515481721627738117;1693267418490945800;1693267418491026200;fa370bf86134;68;4
$1;1693267418493738700;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3515481721627738117;1693267418492920400;1693267418493733200;fa370bf86134;70;4
$1;1693267418493770400;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3515481721627738117;1693267418490928800;1693267418493766100;fa370bf86134;67;3
$1;1693267418493862200;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;3515481721627738117;1693267418493811200;1693267418493856800;fa370bf86134;73;5
$1;1693267418493885400;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;3515481721627738117;1693267418493796600;1693267418493882400;fa370bf86134;72;4
$1;1693267418495763000;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3515481721627738117;1693267418494981700;1693267418495757900;fa370bf86134;74;4
$1;1693267418495792800;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3515481721627738117;1693267418493779100;1693267418495788600;fa370bf86134;71;3
$1;1693267418495874900;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;3515481721627738117;1693267418495829500;1693267418495871200;fa370bf86134;77;5
$1;1693267418495895600;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;3515481721627738117;1693267418495817400;1693267418495892600;fa370bf86134;76;4
$1;1693267418497757800;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3515481721627738117;1693267418496938800;1693267418497752800;fa370bf86134;78;4
$1;1693267418497784300;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3515481721627738117;1693267418495801000;1693267418497780100;fa370bf86134;75;3
$1;1693267418497867300;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;3515481721627738117;1693267418497821600;1693267418497863400;fa370bf86134;81;5
$1;1693267418497887600;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;3515481721627738117;1693267418497808800;1693267418497884600;fa370bf86134;80;4
$1;1693267418499763800;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3515481721627738117;1693267418498933900;1693267418499758500;fa370bf86134;82;4
$1;1693267418499793500;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3515481721627738117;1693267418497792500;1693267418499788300;fa370bf86134;79;3
$1;1693267418499876200;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;3515481721627738117;1693267418499831600;1693267418499872500;fa370bf86134;85;5
$1;1693267418499916200;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;3515481721627738117;1693267418499817900;1693267418499912500;fa370bf86134;84;4
$1;1693267418502104300;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3515481721627738117;1693267418501105600;1693267418502098900;fa370bf86134;86;4
$1;1693267418502134900;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3515481721627738117;1693267418499801700;1693267418502130600;fa370bf86134;83;3
$1;1693267418502229000;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;3515481721627738117;1693267418502171600;1693267418502222700;fa370bf86134;89;5
$1;1693267418502247500;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;3515481721627738117;1693267418502160500;1693267418502244600;fa370bf86134;88;4
$1;1693267418504243600;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3515481721627738117;1693267418503418200;1693267418504238400;fa370bf86134;90;4
